task_id,domain,model_tag,layer,head,seq_len,method,param,frob_rel,kl_mean
TR01,travel,gemma3_4b,0,7,509,banded,2,1.035933,14.691493
TR01,travel,gemma3_4b,0,7,509,banded,5,1.004086,14.494147
TR01,travel,gemma3_4b,0,7,509,banded,10,0.938571,14.055606
TR01,travel,gemma3_4b,0,7,509,banded,20,0.848546,13.288568
TR01,travel,gemma3_4b,0,7,509,sparse_topk,5,0.07075,1.088897
TR01,travel,gemma3_4b,0,7,509,sparse_topk,10,0.029194,0.399355
TR01,travel,gemma3_4b,0,7,509,sparse_topk,20,0.008875,0.087729
TR01,travel,gemma3_4b,0,7,509,sparse_topk,40,0.002125,0.011374
TR01,travel,gemma3_4b,0,7,509,monarch,2,0.492042,6.056791
TR01,travel,gemma3_4b,0,7,509,monarch,4,0.743822,10.986746
TR01,travel,gemma3_4b,0,7,509,monarch,8,0.837763,12.639421
TR01,travel,gemma3_4b,1,0,509,lowrank,2,0.727321,2.17944
TR01,travel,gemma3_4b,1,0,509,lowrank,4,0.709539,2.056776
TR01,travel,gemma3_4b,1,0,509,lowrank,8,0.687409,1.934387
TR01,travel,gemma3_4b,1,0,509,lowrank,16,0.649221,1.708003
TR01,travel,gemma3_4b,1,0,509,banded,2,1.156954,17.851261
TR01,travel,gemma3_4b,1,0,509,banded,5,1.124973,17.607662
TR01,travel,gemma3_4b,1,0,509,banded,10,1.061151,17.208309
TR01,travel,gemma3_4b,1,0,509,banded,20,0.997336,16.579967
TR01,travel,gemma3_4b,1,0,509,sparse_topk,5,0.029073,0.434051
TR01,travel,gemma3_4b,1,0,509,sparse_topk,10,0.008522,0.110625
TR01,travel,gemma3_4b,1,0,509,sparse_topk,20,0.001845,0.015458
TR01,travel,gemma3_4b,1,0,509,sparse_topk,40,0.001099,0.00098
TR01,travel,gemma3_4b,1,0,509,monarch,2,0.692797,9.018881
TR01,travel,gemma3_4b,1,0,509,monarch,4,0.906596,14.335241
TR01,travel,gemma3_4b,1,0,509,monarch,8,0.985449,15.740584
TR01,travel,gemma3_4b,1,1,509,lowrank,2,0.766574,2.357636
TR01,travel,gemma3_4b,1,1,509,lowrank,4,0.747082,2.202304
TR01,travel,gemma3_4b,1,1,509,lowrank,8,0.718718,2.051251
TR01,travel,gemma3_4b,1,1,509,lowrank,16,0.669149,1.695681
TR01,travel,gemma3_4b,1,1,509,banded,2,1.224507,19.469757
TR01,travel,gemma3_4b,1,1,509,banded,5,1.071,16.601513
TR01,travel,gemma3_4b,1,1,509,banded,10,0.997939,15.792671
TR01,travel,gemma3_4b,1,1,509,banded,20,0.937775,14.985147
TR01,travel,gemma3_4b,1,1,509,sparse_topk,5,0.027138,0.396167
TR01,travel,gemma3_4b,1,1,509,sparse_topk,10,0.007716,0.096242
TR01,travel,gemma3_4b,1,1,509,sparse_topk,20,0.001922,0.0148
TR01,travel,gemma3_4b,1,1,509,sparse_topk,40,0.001129,0.001341
TR01,travel,gemma3_4b,1,1,509,monarch,2,0.653929,8.209543
TR01,travel,gemma3_4b,1,1,509,monarch,4,0.864185,13.022737
TR01,travel,gemma3_4b,1,1,509,monarch,8,0.948213,14.705201
TR01,travel,gemma3_4b,1,2,509,lowrank,2,0.866307,1.220935
TR01,travel,gemma3_4b,1,2,509,lowrank,4,0.606252,0.973678
TR01,travel,gemma3_4b,1,2,509,lowrank,8,0.528542,0.727636
TR01,travel,gemma3_4b,1,2,509,lowrank,16,0.442565,0.510647
TR01,travel,gemma3_4b,1,2,509,banded,2,2.880806,21.063988
TR01,travel,gemma3_4b,1,2,509,banded,5,2.163874,19.348692
TR01,travel,gemma3_4b,1,2,509,banded,10,1.669042,17.328583
TR01,travel,gemma3_4b,1,2,509,banded,20,1.255716,14.684164
TR01,travel,gemma3_4b,1,2,509,sparse_topk,5,0.458156,6.985206
TR01,travel,gemma3_4b,1,2,509,sparse_topk,10,0.244487,4.092857
TR01,travel,gemma3_4b,1,2,509,sparse_topk,20,0.104469,1.7694
TR01,travel,gemma3_4b,1,2,509,sparse_topk,40,0.027298,0.404186
TR01,travel,gemma3_4b,1,2,509,monarch,2,0.61169,4.991753
TR01,travel,gemma3_4b,1,2,509,monarch,4,0.933056,8.637027
TR01,travel,gemma3_4b,1,2,509,monarch,8,1.374248,12.923014
TR01,travel,gemma3_4b,1,3,509,lowrank,2,0.369181,0.630301
TR01,travel,gemma3_4b,1,3,509,lowrank,4,0.300711,0.540725
TR01,travel,gemma3_4b,1,3,509,lowrank,8,0.194919,0.354122
TR01,travel,gemma3_4b,1,3,509,lowrank,16,0.148533,0.252585
TR01,travel,gemma3_4b,1,3,509,banded,2,2.164433,22.580706
TR01,travel,gemma3_4b,1,3,509,banded,5,1.733538,21.642593
TR01,travel,gemma3_4b,1,3,509,banded,10,1.437605,20.379923
TR01,travel,gemma3_4b,1,3,509,banded,20,1.183875,18.395195
TR01,travel,gemma3_4b,1,3,509,sparse_topk,5,0.451546,7.59921
TR01,travel,gemma3_4b,1,3,509,sparse_topk,10,0.251183,4.885782
TR01,travel,gemma3_4b,1,3,509,sparse_topk,20,0.112174,2.350064
TR01,travel,gemma3_4b,1,3,509,sparse_topk,40,0.030784,0.581011
TR01,travel,gemma3_4b,1,3,509,monarch,2,0.532491,7.035066
TR01,travel,gemma3_4b,1,3,509,monarch,4,0.824615,11.454904
TR01,travel,gemma3_4b,1,3,509,monarch,8,1.168244,16.056934
TR01,travel,gemma3_4b,1,4,509,lowrank,2,0.960928,2.626568
TR01,travel,gemma3_4b,1,4,509,lowrank,4,0.915554,2.310893
TR01,travel,gemma3_4b,1,4,509,lowrank,8,0.885934,2.063535
TR01,travel,gemma3_4b,1,4,509,lowrank,16,0.82952,1.760485
TR01,travel,gemma3_4b,1,4,509,banded,2,1.471042,17.456009
TR01,travel,gemma3_4b,1,4,509,banded,5,1.074309,13.724302
TR01,travel,gemma3_4b,1,4,509,banded,10,0.799744,10.882753
TR01,travel,gemma3_4b,1,4,509,banded,20,0.597809,8.062678
TR01,travel,gemma3_4b,1,4,509,sparse_topk,5,0.125597,2.253101
TR01,travel,gemma3_4b,1,4,509,sparse_topk,10,0.062876,1.08218
TR01,travel,gemma3_4b,1,4,509,sparse_topk,20,0.024181,0.371175
TR01,travel,gemma3_4b,1,4,509,sparse_topk,40,0.005396,0.066889
TR01,travel,gemma3_4b,1,4,509,monarch,2,0.335155,2.603706
TR01,travel,gemma3_4b,1,4,509,monarch,4,0.494531,4.744268
TR01,travel,gemma3_4b,1,4,509,monarch,8,0.708239,7.583516
TR01,travel,gemma3_4b,1,5,509,lowrank,2,0.452092,0.944961
TR01,travel,gemma3_4b,1,5,509,lowrank,4,0.427875,0.878994
TR01,travel,gemma3_4b,1,5,509,lowrank,8,0.383801,0.724218
TR01,travel,gemma3_4b,1,5,509,lowrank,16,0.29116,0.582946
TR01,travel,gemma3_4b,1,5,509,banded,2,1.902343,24.710474
TR01,travel,gemma3_4b,1,5,509,banded,5,1.780176,24.447289
TR01,travel,gemma3_4b,1,5,509,banded,10,1.631597,24.05994
TR01,travel,gemma3_4b,1,5,509,banded,20,1.419615,22.966497
TR01,travel,gemma3_4b,1,5,509,sparse_topk,5,0.141708,2.388951
TR01,travel,gemma3_4b,1,5,509,sparse_topk,10,0.072848,1.245346
TR01,travel,gemma3_4b,1,5,509,sparse_topk,20,0.027231,0.448173
TR01,travel,gemma3_4b,1,5,509,sparse_topk,40,0.005418,0.072843
TR01,travel,gemma3_4b,1,5,509,monarch,2,0.698029,9.40169
TR01,travel,gemma3_4b,1,5,509,monarch,4,1.030041,15.298081
TR01,travel,gemma3_4b,1,5,509,monarch,8,1.334895,20.180201
TR01,travel,gemma3_4b,1,6,509,lowrank,2,0.312241,0.821674
TR01,travel,gemma3_4b,1,6,509,lowrank,4,0.279,0.660175
TR01,travel,gemma3_4b,1,6,509,lowrank,8,0.22133,0.467601
TR01,travel,gemma3_4b,1,6,509,lowrank,16,0.166537,0.308701
TR01,travel,gemma3_4b,1,6,509,banded,2,1.551791,24.137405
TR01,travel,gemma3_4b,1,6,509,banded,5,1.394693,23.006462
TR01,travel,gemma3_4b,1,6,509,banded,10,1.255307,21.644403
TR01,travel,gemma3_4b,1,6,509,banded,20,1.125282,19.428755
TR01,travel,gemma3_4b,1,6,509,sparse_topk,5,0.063443,1.086564
TR01,travel,gemma3_4b,1,6,509,sparse_topk,10,0.02087,0.326077
TR01,travel,gemma3_4b,1,6,509,sparse_topk,20,0.003475,0.03929
TR01,travel,gemma3_4b,1,6,509,sparse_topk,40,0.001109,0.00147
TR01,travel,gemma3_4b,1,6,509,monarch,2,0.68391,8.062047
TR01,travel,gemma3_4b,1,6,509,monarch,4,0.900983,13.071326
TR01,travel,gemma3_4b,1,6,509,monarch,8,1.084584,17.383928
TR01,travel,gemma3_4b,1,7,509,lowrank,2,0.418929,0.945028
TR01,travel,gemma3_4b,1,7,509,lowrank,4,0.406228,0.911655
TR01,travel,gemma3_4b,1,7,509,lowrank,8,0.380456,0.852335
TR01,travel,gemma3_4b,1,7,509,lowrank,16,0.295956,0.643714
TR01,travel,gemma3_4b,1,7,509,banded,2,1.398962,23.728252
TR01,travel,gemma3_4b,1,7,509,banded,5,1.27,22.745239
TR01,travel,gemma3_4b,1,7,509,banded,10,1.169236,21.79932
TR01,travel,gemma3_4b,1,7,509,banded,20,1.086349,20.559225
TR01,travel,gemma3_4b,1,7,509,sparse_topk,5,0.049838,0.78298
TR01,travel,gemma3_4b,1,7,509,sparse_topk,10,0.014711,0.199369
TR01,travel,gemma3_4b,1,7,509,sparse_topk,20,0.001982,0.015938
TR01,travel,gemma3_4b,1,7,509,sparse_topk,40,0.001141,0.000166
TR01,travel,gemma3_4b,1,7,509,monarch,2,0.68132,9.478536
TR01,travel,gemma3_4b,1,7,509,monarch,4,0.878214,14.590124
TR01,travel,gemma3_4b,1,7,509,monarch,8,1.042031,18.539007
TR01,travel,gemma3_4b,2,0,509,lowrank,2,0.447133,1.123738
TR01,travel,gemma3_4b,2,0,509,lowrank,4,0.430182,1.062808
TR01,travel,gemma3_4b,2,0,509,lowrank,8,0.398402,0.957753
TR01,travel,gemma3_4b,2,0,509,lowrank,16,0.337304,0.762579
TR01,travel,gemma3_4b,2,0,509,banded,2,1.253488,22.087261
TR01,travel,gemma3_4b,2,0,509,banded,5,1.210712,21.689026
TR01,travel,gemma3_4b,2,0,509,banded,10,1.160167,21.419907
TR01,travel,gemma3_4b,2,0,509,banded,20,1.113871,20.85367
TR01,travel,gemma3_4b,2,0,509,sparse_topk,5,0.023457,0.325038
TR01,travel,gemma3_4b,2,0,509,sparse_topk,10,0.010181,0.129113
TR01,travel,gemma3_4b,2,0,509,sparse_topk,20,0.003172,0.032297
TR01,travel,gemma3_4b,2,0,509,sparse_topk,40,0.001176,0.00347
TR01,travel,gemma3_4b,2,0,509,monarch,2,0.765539,10.777952
TR01,travel,gemma3_4b,2,0,509,monarch,4,0.989329,17.043613
TR01,travel,gemma3_4b,2,0,509,monarch,8,1.100201,19.682833
TR01,travel,gemma3_4b,2,1,509,lowrank,2,0.807149,2.431042
TR01,travel,gemma3_4b,2,1,509,lowrank,4,0.778733,2.295276
TR01,travel,gemma3_4b,2,1,509,lowrank,8,0.724306,2.009331
TR01,travel,gemma3_4b,2,1,509,lowrank,16,0.653735,1.728837
TR01,travel,gemma3_4b,2,1,509,banded,2,1.309192,20.227594
TR01,travel,gemma3_4b,2,1,509,banded,5,1.04375,16.167433
TR01,travel,gemma3_4b,2,1,509,banded,10,0.941912,14.322733
TR01,travel,gemma3_4b,2,1,509,banded,20,0.870284,12.931539
TR01,travel,gemma3_4b,2,1,509,sparse_topk,5,0.042025,0.664498
TR01,travel,gemma3_4b,2,1,509,sparse_topk,10,0.017317,0.250377
TR01,travel,gemma3_4b,2,1,509,sparse_topk,20,0.00501,0.060381
TR01,travel,gemma3_4b,2,1,509,sparse_topk,40,0.001332,0.007336
TR01,travel,gemma3_4b,2,1,509,monarch,2,0.605469,6.322255
TR01,travel,gemma3_4b,2,1,509,monarch,4,0.802779,10.555251
TR01,travel,gemma3_4b,2,1,509,monarch,8,0.906144,12.83026
TR01,travel,gemma3_4b,2,2,509,lowrank,2,0.932412,3.759271
TR01,travel,gemma3_4b,2,2,509,lowrank,4,0.925668,3.701773
TR01,travel,gemma3_4b,2,2,509,lowrank,8,0.912323,3.562359
TR01,travel,gemma3_4b,2,2,509,lowrank,16,0.887439,3.278857
TR01,travel,gemma3_4b,2,2,509,banded,2,0.759075,9.829641
TR01,travel,gemma3_4b,2,2,509,banded,5,0.744485,9.496327
TR01,travel,gemma3_4b,2,2,509,banded,10,0.732064,9.277121
TR01,travel,gemma3_4b,2,2,509,banded,20,0.716598,8.979654
TR01,travel,gemma3_4b,2,2,509,sparse_topk,5,0.018235,0.245212
TR01,travel,gemma3_4b,2,2,509,sparse_topk,10,0.010437,0.125402
TR01,travel,gemma3_4b,2,2,509,sparse_topk,20,0.004436,0.042821
TR01,travel,gemma3_4b,2,2,509,sparse_topk,40,0.001495,0.006677
TR01,travel,gemma3_4b,2,2,509,monarch,2,0.499936,4.617871
TR01,travel,gemma3_4b,2,2,509,monarch,4,0.655482,7.362023
TR01,travel,gemma3_4b,2,2,509,monarch,8,0.702369,8.36525
TR01,travel,gemma3_4b,2,3,509,lowrank,2,0.801283,2.874002
TR01,travel,gemma3_4b,2,3,509,lowrank,4,0.786958,2.811088
TR01,travel,gemma3_4b,2,3,509,lowrank,8,0.759234,2.642947
TR01,travel,gemma3_4b,2,3,509,lowrank,16,0.719515,2.401647
TR01,travel,gemma3_4b,2,3,509,banded,2,0.989572,13.433862
TR01,travel,gemma3_4b,2,3,509,banded,5,0.919428,12.335346
TR01,travel,gemma3_4b,2,3,509,banded,10,0.906781,12.120017
TR01,travel,gemma3_4b,2,3,509,banded,20,0.878625,11.630233
TR01,travel,gemma3_4b,2,3,509,sparse_topk,5,0.025448,0.336498
TR01,travel,gemma3_4b,2,3,509,sparse_topk,10,0.014171,0.170867
TR01,travel,gemma3_4b,2,3,509,sparse_topk,20,0.005882,0.06135
TR01,travel,gemma3_4b,2,3,509,sparse_topk,40,0.001639,0.010246
TR01,travel,gemma3_4b,2,3,509,monarch,2,0.580815,5.528854
TR01,travel,gemma3_4b,2,3,509,monarch,4,0.761882,8.891959
TR01,travel,gemma3_4b,2,3,509,monarch,8,0.874928,11.034114
TR01,travel,gemma3_4b,2,4,509,lowrank,2,0.795451,2.164557
TR01,travel,gemma3_4b,2,4,509,lowrank,4,0.779438,2.000086
TR01,travel,gemma3_4b,2,4,509,lowrank,8,0.748319,1.821466
TR01,travel,gemma3_4b,2,4,509,lowrank,16,0.706358,1.67788
TR01,travel,gemma3_4b,2,4,509,banded,2,1.563254,17.505962
TR01,travel,gemma3_4b,2,4,509,banded,5,1.405998,16.592669
TR01,travel,gemma3_4b,2,4,509,banded,10,1.252,15.552844
TR01,travel,gemma3_4b,2,4,509,banded,20,1.073566,13.7481
TR01,travel,gemma3_4b,2,4,509,sparse_topk,5,0.189587,3.001862
TR01,travel,gemma3_4b,2,4,509,sparse_topk,10,0.113258,1.757907
TR01,travel,gemma3_4b,2,4,509,sparse_topk,20,0.055053,0.785614
TR01,travel,gemma3_4b,2,4,509,sparse_topk,40,0.016813,0.212519
TR01,travel,gemma3_4b,2,4,509,monarch,2,0.567765,5.030759
TR01,travel,gemma3_4b,2,4,509,monarch,4,0.781844,8.166243
TR01,travel,gemma3_4b,2,4,509,monarch,8,1.020587,11.927539
TR01,travel,gemma3_4b,2,5,509,lowrank,2,0.893795,2.776787
TR01,travel,gemma3_4b,2,5,509,lowrank,4,0.879524,2.642768
TR01,travel,gemma3_4b,2,5,509,lowrank,8,0.852723,2.419467
TR01,travel,gemma3_4b,2,5,509,lowrank,16,0.808817,2.171074
TR01,travel,gemma3_4b,2,5,509,banded,2,1.031196,13.537362
TR01,travel,gemma3_4b,2,5,509,banded,5,0.913082,12.165646
TR01,travel,gemma3_4b,2,5,509,banded,10,0.862371,11.711551
TR01,travel,gemma3_4b,2,5,509,banded,20,0.794383,11.010021
TR01,travel,gemma3_4b,2,5,509,sparse_topk,5,0.117544,1.867426
TR01,travel,gemma3_4b,2,5,509,sparse_topk,10,0.067169,1.059051
TR01,travel,gemma3_4b,2,5,509,sparse_topk,20,0.030517,0.453821
TR01,travel,gemma3_4b,2,5,509,sparse_topk,40,0.008772,0.106816
TR01,travel,gemma3_4b,2,5,509,monarch,2,0.505129,5.427447
TR01,travel,gemma3_4b,2,5,509,monarch,4,0.68812,8.860059
TR01,travel,gemma3_4b,2,5,509,monarch,8,0.791108,10.402603
TR01,travel,gemma3_4b,2,6,509,lowrank,2,0.947381,2.626072
TR01,travel,gemma3_4b,2,6,509,lowrank,4,0.911482,2.024932
TR01,travel,gemma3_4b,2,6,509,lowrank,8,0.854094,1.517305
TR01,travel,gemma3_4b,2,6,509,lowrank,16,0.762046,1.137141
TR01,travel,gemma3_4b,2,6,509,banded,2,1.850617,18.433662
TR01,travel,gemma3_4b,2,6,509,banded,5,0.969573,11.736836
TR01,travel,gemma3_4b,2,6,509,banded,10,0.490811,6.467605
TR01,travel,gemma3_4b,2,6,509,banded,20,0.280262,2.989964
TR01,travel,gemma3_4b,2,6,509,sparse_topk,5,0.078322,1.220444
TR01,travel,gemma3_4b,2,6,509,sparse_topk,10,0.021045,0.293992
TR01,travel,gemma3_4b,2,6,509,sparse_topk,20,0.006494,0.072098
TR01,travel,gemma3_4b,2,6,509,sparse_topk,40,0.001687,0.012517
TR01,travel,gemma3_4b,2,6,509,monarch,2,0.256901,0.842208
TR01,travel,gemma3_4b,2,6,509,monarch,4,0.414852,1.773543
TR01,travel,gemma3_4b,2,6,509,monarch,8,0.641916,3.657181
TR01,travel,gemma3_4b,2,7,509,lowrank,2,0.601083,1.49368
TR01,travel,gemma3_4b,2,7,509,lowrank,4,0.576403,1.262343
TR01,travel,gemma3_4b,2,7,509,lowrank,8,0.543069,1.028952
TR01,travel,gemma3_4b,2,7,509,lowrank,16,0.483746,0.850685
TR01,travel,gemma3_4b,2,7,509,banded,2,1.958724,23.837145
TR01,travel,gemma3_4b,2,7,509,banded,5,1.55458,22.007322
TR01,travel,gemma3_4b,2,7,509,banded,10,1.312367,19.817644
TR01,travel,gemma3_4b,2,7,509,banded,20,1.053381,15.757297
TR01,travel,gemma3_4b,2,7,509,sparse_topk,5,0.145414,2.967436
TR01,travel,gemma3_4b,2,7,509,sparse_topk,10,0.0682,1.421924
TR01,travel,gemma3_4b,2,7,509,sparse_topk,20,0.022906,0.436926
TR01,travel,gemma3_4b,2,7,509,sparse_topk,40,0.004285,0.060463
TR01,travel,gemma3_4b,2,7,509,monarch,2,0.431659,4.227856
TR01,travel,gemma3_4b,2,7,509,monarch,4,0.659112,7.84198
TR01,travel,gemma3_4b,2,7,509,monarch,8,1.026043,13.10838
TR01,travel,gemma3_4b,3,0,509,lowrank,2,0.652528,1.888151
TR01,travel,gemma3_4b,3,0,509,lowrank,4,0.614845,1.710942
TR01,travel,gemma3_4b,3,0,509,lowrank,8,0.580024,1.598832
TR01,travel,gemma3_4b,3,0,509,lowrank,16,0.523542,1.333067
TR01,travel,gemma3_4b,3,0,509,banded,2,1.294808,19.146904
TR01,travel,gemma3_4b,3,0,509,banded,5,1.112975,16.783558
TR01,travel,gemma3_4b,3,0,509,banded,10,1.040732,15.52993
