model_tag,protocol,feature_set,class,support,recall
gemma3_4b,leave_one_prompt::BZ02,no_seq_len,banded,3,1.0
gemma3_4b,leave_one_prompt::BZ02,no_seq_len,lowrank,237,0.919831
gemma3_4b,leave_one_prompt::BZ02,no_seq_len,monarch,32,0.96875
gemma3_4b,leave_one_prompt::BZ05,no_seq_len,banded,3,1.0
gemma3_4b,leave_one_prompt::BZ05,no_seq_len,lowrank,234,0.940171
gemma3_4b,leave_one_prompt::BZ05,no_seq_len,monarch,35,0.971429
gemma3_4b,leave_one_prompt::BZ09,no_seq_len,banded,3,1.0
gemma3_4b,leave_one_prompt::BZ09,no_seq_len,lowrank,227,0.947137
gemma3_4b,leave_one_prompt::BZ09,no_seq_len,monarch,42,0.97619
gemma3_4b,leave_one_prompt::TC01,no_seq_len,banded,3,1.0
gemma3_4b,leave_one_prompt::TC01,no_seq_len,lowrank,237,0.911392
gemma3_4b,leave_one_prompt::TC01,no_seq_len,monarch,32,0.90625
gemma3_4b,leave_one_prompt::TC02,no_seq_len,banded,2,1.0
gemma3_4b,leave_one_prompt::TC02,no_seq_len,lowrank,233,0.939914
gemma3_4b,leave_one_prompt::TC02,no_seq_len,monarch,37,0.945946
gemma3_4b,leave_one_prompt::TC08,no_seq_len,banded,2,1.0
gemma3_4b,leave_one_prompt::TC08,no_seq_len,lowrank,233,0.935622
gemma3_4b,leave_one_prompt::TC08,no_seq_len,monarch,37,0.918919
gemma3_4b,leave_one_prompt::TC10,no_seq_len,banded,2,1.0
gemma3_4b,leave_one_prompt::TC10,no_seq_len,lowrank,232,0.918103
gemma3_4b,leave_one_prompt::TC10,no_seq_len,monarch,38,0.947368
gemma3_4b,leave_one_prompt::TR01,no_seq_len,banded,0,0.0
gemma3_4b,leave_one_prompt::TR01,no_seq_len,lowrank,197,0.939086
gemma3_4b,leave_one_prompt::TR01,no_seq_len,monarch,75,0.893333
gemma3_4b,leave_one_prompt::TR02,no_seq_len,banded,1,1.0
gemma3_4b,leave_one_prompt::TR02,no_seq_len,lowrank,198,0.944444
gemma3_4b,leave_one_prompt::TR02,no_seq_len,monarch,73,0.90411
gemma3_4b,leave_one_prompt::TR05,no_seq_len,banded,1,1.0
