model_tag,target_group,layer,head,n_prompts,kl_mean,kl_median,js_mean,top10_overlap_mean,source_erank,source_diag_conc,source_mean_dist
qwen3_8b,high_complex_global,24,24,6,0.0032328333333333337,0.0020545,0.0007838333333333333,0.9500000000000001,197.04217499999996,0.2864666666666666,83.71994166666667
qwen3_8b,high_complex_global,35,24,6,0.000266,0.00010300000000000001,6.55e-05,0.9833333333333334,133.98024166666667,0.2432416666666666,120.08909166666666
qwen3_8b,local_band,0,1,6,0.07901999999999999,0.032375,0.019348166666666666,0.8333333333333334,299.2618166666667,0.9419916666666669,4.321808333333333
qwen3_8b,local_band,0,15,6,0.033511,0.0046905,0.008382166666666666,0.8833333333333333,275.8919333333333,0.8991666666666666,5.394175000000001
qwen3_8b,local_band,1,4,6,0.017095999999999997,0.01677,0.004415333333333334,0.9,295.31876666666665,0.9724416666666666,2.5935166666666665
qwen3_8b,local_band,1,7,6,0.015495999999999998,0.006192,0.0034000000000000002,0.9,216.56581666666668,0.9095166666666666,6.7790333333333335
qwen3_8b,local_band,12,25,6,0.053312666666666675,0.011862000000000001,0.012524666666666668,0.8333333333333334,312.4298833333333,0.9706666666666668,2.1846583333333336
qwen3_8b,local_band,16,27,6,0.023632999999999998,0.013758000000000001,0.0056394999999999995,0.8833333333333333,311.0004833333333,0.9144833333333334,9.318125
qwen3_8b,low_rank_diffuse,7,4,6,0.022228,0.008699499999999999,0.005834666666666666,0.8666666666666667,2.36105,0.0289916666666666,155.08359166666665
qwen3_8b,low_rank_diffuse,7,6,6,0.08389066666666667,0.03699,0.019380500000000002,0.7833333333333333,1.586575,0.0234,154.88856666666666
qwen3_8b,low_rank_diffuse,9,8,6,0.06147049999999999,0.0086815,0.01715533333333333,0.9,2.4780666666666664,0.0253166666666666,153.0492
qwen3_8b,low_rank_diffuse,9,28,6,0.06415533333333333,0.0321875,0.016637,0.8333333333333334,3.034283333333333,0.0303833333333333,152.54668333333333
qwen3_8b,low_rank_diffuse,9,30,6,0.23957316666666664,0.066833,0.048292499999999995,0.75,1.7939666666666667,0.0265916666666666,153.53786666666667
qwen3_8b,low_rank_diffuse,13,12,6,0.035437166666666665,0.020113,0.008237166666666667,0.9166666666666666,1.008608333333333,0.022675,156.03235
