model_tag,task_id,layer,head,seq_len,erank,stable_rank,energy_top1,energy_top5,diag_conc,mean_dist,domain,best_method,best_param,best_frob_rel,best_kl_mean,group_id
gemma3_4b,TR01,9,1,509,206.6317,1.6944,0.5902,0.6572,0.3262,100.2472,travel,sparse_topk,40,0.004487,0.036769,gemma3_4b::TR01::9
gemma3_4b,TR01,9,2,509,113.9783,1.3506,0.7404,0.8589,0.0868,111.9261,travel,sparse_topk,40,0.013444,0.18512,gemma3_4b::TR01::9
gemma3_4b,TR01,9,3,509,175.4334,1.761,0.5679,0.6744,0.1259,114.2602,travel,sparse_topk,40,0.004929,0.052492,gemma3_4b::TR01::9
gemma3_4b,TR01,9,4,509,130.9524,1.8887,0.5295,0.6783,0.1347,108.2737,travel,sparse_topk,40,0.003993,0.041818,gemma3_4b::TR01::9
gemma3_4b,TR01,9,5,509,175.4247,2.3992,0.4168,0.5821,0.2242,86.9308,travel,sparse_topk,40,0.004886,0.050581,gemma3_4b::TR01::9
gemma3_4b,TR01,9,6,509,112.0046,1.0906,0.917,0.9345,0.1065,117.6049,travel,sparse_topk,40,0.014888,0.192739,gemma3_4b::TR01::9
gemma3_4b,TR01,9,7,509,187.6584,1.6147,0.6193,0.6655,0.1774,91.0902,travel,sparse_topk,40,0.004563,0.032611,gemma3_4b::TR01::9
gemma3_4b,TR01,10,0,509,245.1417,3.0723,0.3255,0.3819,0.5099,55.2109,travel,sparse_topk,40,0.002008,0.009065,gemma3_4b::TR01::10
gemma3_4b,TR01,10,1,509,405.2073,3.7527,0.2665,0.2922,0.6851,74.4254,travel,sparse_topk,40,0.001383,0.005477,gemma3_4b::TR01::10
gemma3_4b,TR01,10,2,509,92.0914,1.1158,0.8962,0.9452,0.0966,131.7624,travel,sparse_topk,40,0.018825,0.233667,gemma3_4b::TR01::10
gemma3_4b,TR01,10,3,509,114.0772,1.0901,0.9173,0.9367,0.1582,132.7147,travel,sparse_topk,40,0.007331,0.09111,gemma3_4b::TR01::10
gemma3_4b,TR01,10,4,509,114.7302,1.2702,0.7873,0.8638,0.1639,104.4237,travel,sparse_topk,40,0.004716,0.050695,gemma3_4b::TR01::10
gemma3_4b,TR01,10,5,509,226.2068,1.264,0.7911,0.8326,0.2318,99.5957,travel,sparse_topk,40,0.009033,0.097651,gemma3_4b::TR01::10
gemma3_4b,TR01,10,6,509,169.3532,1.3831,0.723,0.7653,0.3071,98.1883,travel,sparse_topk,40,0.002403,0.020046,gemma3_4b::TR01::10
gemma3_4b,TR01,10,7,509,119.9626,1.1744,0.8515,0.891,0.2349,129.0546,travel,sparse_topk,40,0.003381,0.034033,gemma3_4b::TR01::10
gemma3_4b,TR01,11,0,509,127.793,1.1409,0.8765,0.9187,0.1184,116.4421,travel,sparse_topk,40,0.013561,0.181818,gemma3_4b::TR01::11
gemma3_4b,TR01,11,1,509,61.1846,1.0439,0.9579,0.9699,0.0873,176.8666,travel,sparse_topk,40,0.002615,0.024878,gemma3_4b::TR01::11
gemma3_4b,TR01,11,2,509,285.4343,1.4788,0.6762,0.7196,0.2478,128.73,travel,sparse_topk,40,0.003431,0.036479,gemma3_4b::TR01::11
gemma3_4b,TR01,11,3,509,132.2299,1.0988,0.9101,0.9408,0.1157,141.8169,travel,sparse_topk,40,0.008387,0.119342,gemma3_4b::TR01::11
gemma3_4b,TR01,11,4,509,200.1195,1.4466,0.6913,0.735,0.1331,113.1758,travel,sparse_topk,40,0.004976,0.035358,gemma3_4b::TR01::11
gemma3_4b,TR01,11,5,509,35.2016,1.0383,0.9631,0.9763,0.0364,222.8012,travel,sparse_topk,40,0.00152,0.00623,gemma3_4b::TR01::11
gemma3_4b,TR01,11,6,509,160.461,2.9889,0.3346,0.5654,0.1689,101.3659,travel,sparse_topk,40,0.001662,0.013666,gemma3_4b::TR01::11
gemma3_4b,TR01,11,7,509,165.2833,3.3071,0.3024,0.6638,0.1752,99.9793,travel,sparse_topk,40,0.002122,0.017203,gemma3_4b::TR01::11
gemma3_4b,TR01,12,0,509,133.3864,1.2659,0.7899,0.8349,0.152,114.276,travel,sparse_topk,40,0.00395,0.04134,gemma3_4b::TR01::12
gemma3_4b,TR01,12,1,509,137.2502,1.3443,0.7439,0.8119,0.0752,120.9876,travel,sparse_topk,40,0.004159,0.04961,gemma3_4b::TR01::12
gemma3_4b,TR01,12,2,509,273.6886,8.3855,0.1193,0.2056,0.5513,37.4818,travel,sparse_topk,40,0.002553,0.017081,gemma3_4b::TR01::12
gemma3_4b,TR01,12,3,509,168.9589,1.5969,0.6262,0.7164,0.2052,73.1985,travel,sparse_topk,40,0.013204,0.185925,gemma3_4b::TR01::12
gemma3_4b,TR01,12,4,509,168.3491,3.5565,0.2812,0.5148,0.2468,71.3567,travel,sparse_topk,40,0.002603,0.023492,gemma3_4b::TR01::12
gemma3_4b,TR01,12,5,509,282.9942,1.818,0.55,0.5995,0.3456,90.7326,travel,sparse_topk,40,0.00478,0.038337,gemma3_4b::TR01::12
gemma3_4b,TR01,12,6,509,226.9946,2.9883,0.3346,0.4306,0.3015,72.6092,travel,sparse_topk,40,0.00526,0.051685,gemma3_4b::TR01::12
gemma3_4b,TR01,12,7,509,217.8193,2.0687,0.4834,0.5635,0.3524,93.0649,travel,sparse_topk,40,0.003873,0.033583,gemma3_4b::TR01::12
gemma3_4b,TR01,13,0,509,270.2978,1.944,0.5144,0.5485,0.5615,94.943,travel,sparse_topk,40,0.001006,0.002054,gemma3_4b::TR01::13
gemma3_4b,TR01,13,1,509,290.0559,2.0262,0.4935,0.5244,0.5708,89.0923,travel,sparse_topk,40,0.002871,0.013632,gemma3_4b::TR01::13
gemma3_4b,TR01,13,2,509,129.1191,1.1271,0.8872,0.9151,0.1392,123.4499,travel,sparse_topk,40,0.004373,0.047848,gemma3_4b::TR01::13
gemma3_4b,TR01,13,3,509,199.1802,2.1126,0.4734,0.5324,0.2728,72.4273,travel,sparse_topk,40,0.004631,0.031303,gemma3_4b::TR01::13
gemma3_4b,TR01,13,4,509,136.3201,1.3449,0.7435,0.8165,0.1472,109.1198,travel,sparse_topk,40,0.003121,0.034911,gemma3_4b::TR01::13
gemma3_4b,TR01,13,5,509,92.0853,1.1001,0.909,0.9416,0.0881,132.1518,travel,sparse_topk,40,0.00725,0.091731,gemma3_4b::TR01::13
gemma3_4b,TR01,13,6,509,295.2433,1.5041,0.6648,0.6961,0.3986,113.7523,travel,sparse_topk,40,0.005822,0.048911,gemma3_4b::TR01::13
gemma3_4b,TR01,13,7,509,391.6243,2.1356,0.4682,0.4961,0.4026,87.4979,travel,sparse_topk,40,0.011155,0.099915,gemma3_4b::TR01::13
gemma3_4b,TR01,14,0,509,181.0492,1.3183,0.7586,0.7903,0.3531,120.0855,travel,sparse_topk,40,0.001776,0.008899,gemma3_4b::TR01::14
gemma3_4b,TR01,14,1,509,135.5158,1.1475,0.8715,0.8949,0.2248,133.8109,travel,sparse_topk,40,0.003215,0.027115,gemma3_4b::TR01::14
gemma3_4b,TR01,14,2,509,230.1886,2.061,0.4852,0.6,0.2852,80.796,travel,sparse_topk,40,0.006786,0.070029,gemma3_4b::TR01::14
gemma3_4b,TR01,14,3,509,259.5936,3.6746,0.2721,0.3664,0.3924,73.8665,travel,sparse_topk,40,0.001434,0.008697,gemma3_4b::TR01::14
gemma3_4b,TR01,14,4,509,232.4595,2.1441,0.4664,0.5176,0.45,87.6577,travel,sparse_topk,40,0.001228,0.001748,gemma3_4b::TR01::14
gemma3_4b,TR01,14,5,509,156.8971,1.7269,0.5791,0.6275,0.3909,96.8121,travel,sparse_topk,40,0.00103,0.001704,gemma3_4b::TR01::14
gemma3_4b,TR01,14,6,509,217.3418,7.3745,0.1356,0.2914,0.3279,44.5044,travel,sparse_topk,40,0.001937,0.015062,gemma3_4b::TR01::14
gemma3_4b,TR01,14,7,509,489.5442,28.3199,0.0353,0.0594,0.7053,35.0785,travel,sparse_topk,40,0.003083,0.024101,gemma3_4b::TR01::14
gemma3_4b,TR01,15,0,509,135.1498,1.1241,0.8896,0.9132,0.1705,130.4452,travel,sparse_topk,40,0.005005,0.049549,gemma3_4b::TR01::15
gemma3_4b,TR01,15,1,509,138.8798,1.1684,0.8559,0.8819,0.2152,128.1222,travel,sparse_topk,40,0.004162,0.029946,gemma3_4b::TR01::15
gemma3_4b,TR01,15,2,509,93.9406,1.0418,0.9598,0.9679,0.1467,149.4143,travel,sparse_topk,40,0.011133,0.117227,gemma3_4b::TR01::15
gemma3_4b,TR01,15,3,509,182.1203,1.4302,0.6992,0.764,0.319,107.6697,travel,sparse_topk,40,0.001928,0.010561,gemma3_4b::TR01::15
gemma3_4b,TR01,15,4,509,154.6926,1.2109,0.8258,0.8644,0.2041,131.5954,travel,sparse_topk,40,0.004651,0.041438,gemma3_4b::TR01::15
gemma3_4b,TR01,15,5,509,132.184,1.3034,0.7672,0.8338,0.169,129.3448,travel,sparse_topk,40,0.003584,0.035573,gemma3_4b::TR01::15
gemma3_4b,TR01,15,6,509,139.8735,1.6455,0.6077,0.764,0.1585,113.5332,travel,sparse_topk,40,0.003007,0.030018,gemma3_4b::TR01::15
gemma3_4b,TR01,15,7,509,173.0238,1.4393,0.6948,0.7893,0.2399,113.917,travel,sparse_topk,40,0.003145,0.025174,gemma3_4b::TR01::15
gemma3_4b,TR01,16,0,509,358.9811,3.6012,0.2777,0.3106,0.6845,61.8049,travel,sparse_topk,40,0.002888,0.004952,gemma3_4b::TR01::16
gemma3_4b,TR01,16,1,509,233.697,1.5512,0.6447,0.7137,0.3097,93.0834,travel,sparse_topk,40,0.003692,0.037541,gemma3_4b::TR01::16
