model_tag,task_id,layer,head,seq_len,erank,stable_rank,energy_top1,energy_top5,diag_conc,mean_dist,domain,best_non_sparse_method,best_non_sparse_param,best_non_sparse_frob_rel,best_non_sparse_kl_mean,group_id
gemma3_4b,TR01,9,7,509,187.6584,1.6147,0.6193,0.6655,0.1774,91.0902,travel,monarch,2,0.542353,4.802032,gemma3_4b::TR01::9
gemma3_4b,TR01,10,0,509,245.1417,3.0723,0.3255,0.3819,0.5099,55.2109,travel,monarch,2,0.453772,2.832997,gemma3_4b::TR01::10
gemma3_4b,TR01,10,1,509,405.2073,3.7527,0.2665,0.2922,0.6851,74.4254,travel,monarch,2,0.461833,3.829501,gemma3_4b::TR01::10
gemma3_4b,TR01,10,2,509,92.0914,1.1158,0.8962,0.9452,0.0966,131.7624,travel,lowrank,16,0.190125,0.397324,gemma3_4b::TR01::10
gemma3_4b,TR01,10,3,509,114.0772,1.0901,0.9173,0.9367,0.1582,132.7147,travel,lowrank,16,0.23336,0.615315,gemma3_4b::TR01::10
gemma3_4b,TR01,10,4,509,114.7302,1.2702,0.7873,0.8638,0.1639,104.4237,travel,lowrank,16,0.291807,0.523525,gemma3_4b::TR01::10
gemma3_4b,TR01,10,5,509,226.2068,1.264,0.7911,0.8326,0.2318,99.5957,travel,lowrank,16,0.385596,0.883913,gemma3_4b::TR01::10
gemma3_4b,TR01,10,6,509,169.3532,1.3831,0.723,0.7653,0.3071,98.1883,travel,lowrank,16,0.461397,0.863622,gemma3_4b::TR01::10
gemma3_4b,TR01,10,7,509,119.9626,1.1744,0.8515,0.891,0.2349,129.0546,travel,lowrank,16,0.326467,0.770413,gemma3_4b::TR01::10
gemma3_4b,TR01,11,0,509,127.793,1.1409,0.8765,0.9187,0.1184,116.4421,travel,lowrank,16,0.274759,0.624361,gemma3_4b::TR01::11
gemma3_4b,TR01,11,1,509,61.1846,1.0439,0.9579,0.9699,0.0873,176.8666,travel,lowrank,16,0.155504,0.436328,gemma3_4b::TR01::11
gemma3_4b,TR01,11,2,509,285.4343,1.4788,0.6762,0.7196,0.2478,128.73,travel,lowrank,16,0.538746,1.300488,gemma3_4b::TR01::11
gemma3_4b,TR01,11,3,509,132.2299,1.0988,0.9101,0.9408,0.1157,141.8169,travel,lowrank,16,0.217247,0.567249,gemma3_4b::TR01::11
gemma3_4b,TR01,11,4,509,200.1195,1.4466,0.6913,0.735,0.1331,113.1758,travel,lowrank,16,0.543004,1.291383,gemma3_4b::TR01::11
gemma3_4b,TR01,11,5,509,35.2016,1.0383,0.9631,0.9763,0.0364,222.8012,travel,lowrank,16,0.148737,0.280059,gemma3_4b::TR01::11
gemma3_4b,TR01,11,6,509,160.461,2.9889,0.3346,0.5654,0.1689,101.3659,travel,lowrank,16,0.566177,0.895873,gemma3_4b::TR01::11
gemma3_4b,TR01,11,7,509,165.2833,3.3071,0.3024,0.6638,0.1752,99.9793,travel,lowrank,16,0.489899,0.906454,gemma3_4b::TR01::11
gemma3_4b,TR01,12,0,509,133.3864,1.2659,0.7899,0.8349,0.152,114.276,travel,lowrank,16,0.37955,0.791567,gemma3_4b::TR01::12
