task_id,domain,model_tag,layer,head,seq_len,erank,stable_rank,energy_top1,energy_top5,diag_conc,mean_dist
TR01,travel,gemma3_4b,13,5,509,92.0853,1.1001,0.909,0.9416,0.0881,132.1518
TR01,travel,gemma3_4b,13,6,509,295.2433,1.5041,0.6648,0.6961,0.3986,113.7523
TR01,travel,gemma3_4b,13,7,509,391.6243,2.1356,0.4682,0.4961,0.4026,87.4979
TR01,travel,gemma3_4b,14,0,509,181.0492,1.3183,0.7586,0.7903,0.3531,120.0855
TR01,travel,gemma3_4b,14,1,509,135.5158,1.1475,0.8715,0.8949,0.2248,133.8109
TR01,travel,gemma3_4b,14,2,509,230.1886,2.061,0.4852,0.6,0.2852,80.796
TR01,travel,gemma3_4b,14,3,509,259.5936,3.6746,0.2721,0.3664,0.3924,73.8665
TR01,travel,gemma3_4b,14,4,509,232.4595,2.1441,0.4664,0.5176,0.45,87.6577
TR01,travel,gemma3_4b,14,5,509,156.8971,1.7269,0.5791,0.6275,0.3909,96.8121
TR01,travel,gemma3_4b,14,6,509,217.3418,7.3745,0.1356,0.2914,0.3279,44.5044
TR01,travel,gemma3_4b,14,7,509,489.5442,28.3199,0.0353,0.0594,0.7053,35.0785
TR01,travel,gemma3_4b,15,0,509,135.1498,1.1241,0.8896,0.9132,0.1705,130.4452
TR01,travel,gemma3_4b,15,1,509,138.8798,1.1684,0.8559,0.8819,0.2152,128.1222
TR01,travel,gemma3_4b,15,2,509,93.9406,1.0418,0.9598,0.9679,0.1467,149.4143
TR01,travel,gemma3_4b,15,3,509,182.1203,1.4302,0.6992,0.764,0.319,107.6697
TR01,travel,gemma3_4b,15,4,509,154.6926,1.2109,0.8258,0.8644,0.2041,131.5954
TR01,travel,gemma3_4b,15,5,509,132.184,1.3034,0.7672,0.8338,0.169,129.3448
TR01,travel,gemma3_4b,15,6,509,139.8735,1.6455,0.6077,0.764,0.1585,113.5332
TR01,travel,gemma3_4b,15,7,509,173.0238,1.4393,0.6948,0.7893,0.2399,113.917
TR01,travel,gemma3_4b,16,0,509,358.9811,3.6012,0.2777,0.3106,0.6845,61.8049
TR01,travel,gemma3_4b,16,1,509,233.697,1.5512,0.6447,0.7137,0.3097,93.0834
