task_id,domain,model_tag,layer,head,seq_len,erank,stable_rank,energy_top1,energy_top5,diag_conc,mean_dist
TR01,travel,qwen3_8b,2,24,484,295.3485,22.6668,0.0441,0.1435,0.5765,44.4679
TR01,travel,qwen3_8b,2,25,484,262.0298,25.7831,0.0388,0.151,0.5294,34.4119
TR01,travel,qwen3_8b,2,26,484,239.835,26.2492,0.0381,0.1392,0.5444,36.647
TR01,travel,qwen3_8b,2,27,484,272.4806,24.2251,0.0413,0.1392,0.5671,42.2033
TR01,travel,qwen3_8b,2,28,484,198.13,2.2083,0.4528,0.6402,0.113,120.7888
TR01,travel,qwen3_8b,2,29,484,45.1429,1.4324,0.6981,0.9716,0.0473,125.2139
TR01,travel,qwen3_8b,2,30,484,24.8469,1.3643,0.733,0.9808,0.0394,164.999
TR01,travel,qwen3_8b,2,31,484,161.2049,2.0086,0.4979,0.6568,0.0919,128.342
TR01,travel,qwen3_8b,3,0,484,67.8103,2.1875,0.4571,0.8652,0.0846,114.9502
TR01,travel,qwen3_8b,3,1,484,122.7434,4.2162,0.2372,0.5237,0.1095,38.1585
TR01,travel,qwen3_8b,3,2,484,227.0652,23.4745,0.0426,0.1222,0.6696,15.7086
TR01,travel,qwen3_8b,3,3,484,365.189,9.9276,0.1007,0.1441,0.7069,40.6579
TR01,travel,qwen3_8b,3,4,484,18.3231,1.1732,0.8523,0.99,0.0332,172.1511
TR01,travel,qwen3_8b,3,5,484,44.3926,1.1846,0.8441,0.9343,0.0472,181.3994
TR01,travel,qwen3_8b,3,6,484,102.8435,1.442,0.6935,0.8258,0.0476,158.7219
TR01,travel,qwen3_8b,3,7,484,127.7082,1.477,0.6771,0.7841,0.1039,151.494
TR01,travel,qwen3_8b,3,8,484,105.0234,1.8552,0.539,0.8086,0.1092,98.6732
TR01,travel,qwen3_8b,3,9,484,222.4734,3.4482,0.29,0.4686,0.1983,91.1028
TR01,travel,qwen3_8b,3,10,484,76.6613,2.2307,0.4483,0.6881,0.1071,99.8379
TR01,travel,qwen3_8b,3,11,484,77.2274,2.2547,0.4435,0.7944,0.0856,123.0222
TR01,travel,qwen3_8b,3,12,484,67.5513,1.2195,0.82,0.9354,0.0623,181.6257
TR01,travel,qwen3_8b,3,13,484,78.7724,1.2668,0.7894,0.9351,0.0709,141.1018
TR01,travel,qwen3_8b,3,14,484,74.3863,1.2082,0.8277,0.9445,0.0889,154.7031
TR01,travel,qwen3_8b,3,15,484,134.8094,1.5338,0.652,0.8002,0.0938,143.809
TR01,travel,qwen3_8b,3,16,484,87.8298,1.3291,0.7524,0.8824,0.1508,130.1968
TR01,travel,qwen3_8b,3,17,484,78.2735,2.9575,0.3381,0.7479,0.1434,111.1051
TR01,travel,qwen3_8b,3,18,484,117.9436,2.003,0.4992,0.6993,0.1769,95.369
TR01,travel,qwen3_8b,3,19,484,125.0363,1.6775,0.5961,0.757,0.1125,95.8265
TR01,travel,qwen3_8b,3,20,484,23.9741,1.2412,0.8056,0.9745,0.0553,160.8053
TR01,travel,qwen3_8b,3,21,484,101.8103,2.106,0.4748,0.7067,0.1506,114.3007
TR01,travel,qwen3_8b,3,22,484,54.1149,2.1796,0.4588,0.8639,0.0537,138.4853
TR01,travel,qwen3_8b,3,23,484,51.118,1.6102,0.621,0.8576,0.0803,126.1259
TR01,travel,qwen3_8b,3,24,484,87.4579,1.5742,0.6353,0.7423,0.2091,143.3298
TR01,travel,qwen3_8b,3,25,484,125.2893,1.2963,0.7714,0.8652,0.1965,144.4057
TR01,travel,qwen3_8b,3,26,484,227.0743,2.6672,0.3749,0.4901,0.3356,100.5615
TR01,travel,qwen3_8b,3,27,484,146.7268,1.4418,0.6936,0.7887,0.2412,137.3474
TR01,travel,qwen3_8b,3,28,484,160.3045,1.6228,0.6162,0.754,0.2288,127.8315
TR01,travel,qwen3_8b,3,29,484,175.4667,1.5063,0.6639,0.7787,0.2195,133.4663
TR01,travel,qwen3_8b,3,30,484,182.4634,1.9974,0.5007,0.5822,0.295,132.5269
TR01,travel,qwen3_8b,3,31,484,153.1148,1.8767,0.5329,0.6168,0.2518,137.0488
TR01,travel,qwen3_8b,4,0,484,113.0821,2.0293,0.4928,0.666,0.184,105.1975
TR01,travel,qwen3_8b,4,1,484,25.9011,1.1317,0.8837,0.9818,0.0544,165.9574
TR01,travel,qwen3_8b,4,2,484,74.8619,1.225,0.8163,0.9307,0.0763,142.1522
TR01,travel,qwen3_8b,4,3,484,66.4467,1.4656,0.6823,0.8492,0.1056,144.3465
TR01,travel,qwen3_8b,4,4,484,154.5522,1.5589,0.6415,0.7584,0.1105,126.503
TR01,travel,qwen3_8b,4,5,484,104.2725,1.6609,0.6021,0.7147,0.2228,119.9194
TR01,travel,qwen3_8b,4,6,484,137.4938,1.3938,0.7175,0.8088,0.2022,137.3232
TR01,travel,qwen3_8b,4,7,484,7.0617,1.0538,0.949,0.9954,0.0322,202.4137
TR01,travel,qwen3_8b,4,8,484,152.7509,1.6966,0.5894,0.638,0.2497,144.8237
