task_id,domain,model_tag,layer,head,seq_len,erank,stable_rank,energy_top1,energy_top5,diag_conc,mean_dist
TR01,travel,ministral8b,3,22,667,210.4472,1.0798,0.9261,0.9468,0.2045,216.8402
TR01,travel,ministral8b,3,23,667,55.0182,1.063,0.9407,0.9884,0.0758,239.1048
TR01,travel,ministral8b,3,24,667,83.439,1.0849,0.9217,0.9386,0.0951,295.1366
TR01,travel,ministral8b,3,25,667,73.3794,1.0215,0.979,0.9874,0.105,290.5095
TR01,travel,ministral8b,3,26,667,88.3114,1.0455,0.9565,0.9703,0.1142,300.4268
TR01,travel,ministral8b,3,27,667,107.4865,1.0273,0.9735,0.9808,0.1163,280.7595
TR01,travel,ministral8b,3,28,667,123.8121,1.2545,0.7971,0.9274,0.0868,173.5715
TR01,travel,ministral8b,3,29,667,35.6668,1.0898,0.9176,0.9894,0.0621,272.9488
TR01,travel,ministral8b,3,30,667,50.0611,1.1344,0.8815,0.9792,0.0607,215.9767
TR01,travel,ministral8b,3,31,667,12.3722,1.0811,0.925,0.9986,0.0329,266.0557
TR01,travel,ministral8b,4,0,667,54.9361,1.0294,0.9714,0.9886,0.0665,226.7154
TR01,travel,ministral8b,4,1,667,134.5534,1.0259,0.9747,0.9908,0.0872,258.3308
TR01,travel,ministral8b,4,2,667,54.5534,1.0624,0.9413,0.9905,0.0841,253.1121
TR01,travel,ministral8b,4,3,667,5.8731,1.009,0.9911,0.9995,0.0238,285.7048
TR01,travel,ministral8b,4,4,667,196.0855,1.2313,0.8121,0.9198,0.2187,193.7477
TR01,travel,ministral8b,4,5,667,69.5366,1.1365,0.8799,0.9863,0.0854,232.7761
TR01,travel,ministral8b,4,6,667,355.7291,1.2588,0.7944,0.8937,0.2232,203.7065
TR01,travel,ministral8b,4,7,667,98.4978,1.2729,0.7856,0.9433,0.0908,205.2519
TR01,travel,ministral8b,4,8,667,339.3581,1.2782,0.7823,0.8512,0.267,253.3287
TR01,travel,ministral8b,4,9,667,242.8806,1.1856,0.8434,0.9185,0.2238,260.151
TR01,travel,ministral8b,4,10,667,162.7161,1.2061,0.8291,0.9353,0.2235,252.0552
TR01,travel,ministral8b,4,11,667,227.9203,1.1952,0.8366,0.9174,0.2014,261.4168
TR01,travel,ministral8b,4,12,667,13.3135,1.0939,0.9142,0.9984,0.0398,253.4569
TR01,travel,ministral8b,4,13,667,78.0696,1.0821,0.9241,0.9722,0.1239,247.714
TR01,travel,ministral8b,4,14,667,7.9157,1.0977,0.911,0.9991,0.0303,299.332
TR01,travel,ministral8b,4,15,667,13.8876,1.1312,0.884,0.9971,0.044,280.7138
TR01,travel,ministral8b,4,16,667,119.0095,1.0836,0.9228,0.9598,0.1673,231.7359
TR01,travel,ministral8b,4,17,667,172.9802,1.1017,0.9077,0.9445,0.2,230.0201
TR01,travel,ministral8b,4,18,667,241.0723,1.0632,0.9406,0.9648,0.1551,250.3159
TR01,travel,ministral8b,4,19,667,91.4133,1.062,0.9416,0.9799,0.1268,242.4964
TR01,travel,ministral8b,4,20,667,194.4402,1.216,0.8224,0.8514,0.2894,181.8008
TR01,travel,ministral8b,4,21,667,43.192,1.0538,0.9489,0.9856,0.0519,195.0966
TR01,travel,ministral8b,4,22,667,46.0332,1.0396,0.9619,0.9726,0.0766,230.4222
TR01,travel,ministral8b,4,23,667,5.2862,1.0072,0.9929,0.9997,0.0221,285.6551
TR01,travel,ministral8b,4,24,667,162.651,1.1587,0.863,0.9426,0.1989,245.4907
TR01,travel,ministral8b,4,25,667,102.7761,1.1438,0.8743,0.9652,0.1622,254.4332
TR01,travel,ministral8b,4,26,667,99.376,1.1143,0.8975,0.9719,0.1425,255.7623
TR01,travel,ministral8b,4,27,667,71.017,1.1432,0.8748,0.9773,0.1038,261.4385
TR01,travel,ministral8b,4,28,667,96.0977,1.0299,0.9709,0.9847,0.0528,244.3031
TR01,travel,ministral8b,4,29,667,216.6791,1.2694,0.7878,0.8221,0.1258,186.8934
TR01,travel,ministral8b,4,30,667,80.5975,1.0325,0.9685,0.9806,0.1221,247.4318
TR01,travel,ministral8b,4,31,667,212.3957,1.1139,0.8977,0.9233,0.2485,217.7138
TR01,travel,ministral8b,5,0,667,59.101,1.0565,0.9465,0.9695,0.0348,264.5671
TR01,travel,ministral8b,5,1,667,148.8451,1.1119,0.8994,0.9207,0.1928,214.1772
TR01,travel,ministral8b,5,2,667,62.6718,1.0415,0.9602,0.9793,0.0572,235.8734
TR01,travel,ministral8b,5,3,667,71.4706,1.0657,0.9383,0.9648,0.047,237.2363
TR01,travel,ministral8b,5,4,667,76.4306,1.0547,0.9481,0.9752,0.1107,222.1925
TR01,travel,ministral8b,5,5,667,77.4066,1.082,0.9242,0.9658,0.1173,233.879
TR01,travel,ministral8b,5,6,667,83.8236,1.071,0.9337,0.9672,0.124,244.296
TR01,travel,ministral8b,5,7,667,86.4946,1.0823,0.924,0.9607,0.0917,200.8617
TR01,travel,ministral8b,5,8,667,31.8721,1.067,0.9372,0.9794,0.043,257.8713
TR01,travel,ministral8b,5,9,667,43.4299,1.0575,0.9456,0.9777,0.0775,281.421
TR01,travel,ministral8b,5,10,667,106.5365,1.0969,0.9116,0.9576,0.1634,248.157
TR01,travel,ministral8b,5,11,667,75.2183,1.2466,0.8022,0.9402,0.1127,197.8752
TR01,travel,ministral8b,5,12,667,196.139,1.3984,0.7151,0.7714,0.1637,157.9367
TR01,travel,ministral8b,5,13,667,169.9295,1.2761,0.7836,0.8376,0.2458,216.608
TR01,travel,ministral8b,5,14,667,234.6801,1.166,0.8576,0.8891,0.2289,177.4788
TR01,travel,ministral8b,5,15,667,267.3598,1.3095,0.7637,0.8044,0.3166,192.9321
TR01,travel,ministral8b,5,16,667,102.6435,1.1817,0.8462,0.9552,0.1197,202.9942
TR01,travel,ministral8b,5,17,667,222.73,1.1428,0.875,0.925,0.219,219.452
TR01,travel,ministral8b,5,18,667,87.6245,1.1577,0.8637,0.9704,0.0826,200.9517
TR01,travel,ministral8b,5,19,667,118.2638,1.0762,0.9292,0.9899,0.1004,261.9656
TR01,travel,ministral8b,5,20,667,286.3751,1.1017,0.9077,0.9334,0.1804,217.0851
TR01,travel,ministral8b,5,21,667,105.8968,1.1319,0.8835,0.9252,0.1542,221.5758
TR01,travel,ministral8b,5,22,667,115.2475,1.1241,0.8896,0.9414,0.0961,253.1597
TR01,travel,ministral8b,5,23,667,166.5169,1.3235,0.7556,0.8259,0.2162,164.953
TR01,travel,ministral8b,5,24,667,224.8703,1.1429,0.875,0.8907,0.0866,245.5779
TR01,travel,ministral8b,5,25,667,34.8647,1.0075,0.9926,0.9963,0.037,320.876
TR01,travel,ministral8b,5,26,667,173.9509,1.0983,0.9105,0.925,0.0737,279.119
TR01,travel,ministral8b,5,27,667,313.583,1.093,0.9149,0.9228,0.1828,268.9035
TR01,travel,ministral8b,5,28,667,548.57,1.5847,0.631,0.648,0.3639,189.3522
TR01,travel,ministral8b,5,29,667,236.8249,1.0826,0.9237,0.9367,0.2383,241.0968
TR01,travel,ministral8b,5,30,667,96.6301,1.0526,0.95,0.9622,0.1639,215.3304
TR01,travel,ministral8b,5,31,667,307.1692,1.2902,0.7751,0.8177,0.3759,196.4739
TR01,travel,ministral8b,6,0,667,180.8401,1.0943,0.9138,0.9302,0.199,245.4056
TR01,travel,ministral8b,6,1,667,39.3077,1.0378,0.9636,0.993,0.0529,269.144
TR01,travel,ministral8b,6,2,667,96.0695,1.0616,0.942,0.9706,0.0465,273.8553
TR01,travel,ministral8b,6,3,667,21.6662,1.027,0.9737,0.9971,0.0374,300.2799
TR01,travel,ministral8b,6,4,667,178.1165,1.1092,0.9016,0.9414,0.2044,239.8226
TR01,travel,ministral8b,6,5,667,112.8149,1.2052,0.8298,0.9522,0.1446,230.0019
TR01,travel,ministral8b,6,6,667,243.4108,1.3413,0.7455,0.8437,0.2743,197.9053
TR01,travel,ministral8b,6,7,667,176.97,1.2618,0.7925,0.886,0.2494,195.8396
TR01,travel,ministral8b,6,8,667,36.6083,1.0196,0.9808,0.9913,0.0455,264.602
TR01,travel,ministral8b,6,9,667,49.807,1.015,0.9852,0.9938,0.0512,246.5042
TR01,travel,ministral8b,6,10,667,59.0827,1.0281,0.9727,0.9849,0.0594,236.3546
TR01,travel,ministral8b,6,11,667,41.3593,1.0211,0.9793,0.9917,0.0593,231.9663
TR01,travel,ministral8b,6,12,667,70.953,1.187,0.8425,0.9348,0.0707,201.2912
TR01,travel,ministral8b,6,13,667,127.1231,1.2858,0.7777,0.8881,0.1267,184.6947
TR01,travel,ministral8b,6,14,667,117.896,1.4633,0.6834,0.8781,0.0965,172.7667
TR01,travel,ministral8b,6,15,667,178.9752,1.2491,0.8006,0.9085,0.12,165.6793
TR01,travel,ministral8b,6,16,667,102.1911,1.1104,0.9005,0.9393,0.0834,174.7116
TR01,travel,ministral8b,6,17,667,8.6383,1.0635,0.9403,0.9982,0.0329,301.823
TR01,travel,ministral8b,6,18,667,19.7403,1.0113,0.9888,0.9964,0.0371,249.4821
TR01,travel,ministral8b,6,19,667,74.3004,1.0823,0.9239,0.9791,0.105,268.8557
TR01,travel,ministral8b,6,20,667,201.2847,1.2791,0.7818,0.8692,0.2148,146.3593
TR01,travel,ministral8b,6,21,667,60.7389,1.2277,0.8145,0.945,0.0854,239.535
