model_tag,target_group,selection_rank,layer,head,erank,stable_rank,energy_top1,energy_top5,diag_conc,mean_dist,score_high_complex_global,score_local_band,score_low_rank_diffuse,seq_len,source_file
gemma3_4b,low_rank_diffuse,1,31,1,2.5476,1.0003,0.9997000000000001,0.99985,0.035725,158.56444166666665,1.7599972570057447,-3.4233749261963804,5.086752595387016,330.6666666666667,spectral_gemma3_4b.csv
gemma3_4b,low_rank_diffuse,2,28,6,3.651275,1.0006,0.9994,0.999675,0.038141666666666664,154.853775,1.6506315020104263,-3.2971704123230827,4.943709322635739,330.6666666666667,spectral_gemma3_4b.csv
gemma3_4b,low_rank_diffuse,3,28,7,3.9080333333333335,1.0023083333333334,0.9977,0.9994833333333334,0.04083333333333333,155.39915,1.6552776035628523,-3.2978991544491265,4.940520705335401,330.6666666666667,spectral_gemma3_4b.csv
gemma3_4b,low_rank_diffuse,4,29,6,12.577616666666666,1.0066916666666665,0.9934,0.9961833333333333,0.06234166666666666,158.632325,1.7594023529148601,-3.2697521541261394,4.780101955337418,330.6666666666667,spectral_gemma3_4b.csv
gemma3_4b,low_rank_diffuse,5,27,0,15.676274999999999,1.0040416666666667,0.9959916666666667,0.9977333333333332,0.06645,156.13494166666666,1.7072237593050128,-3.1702973600766318,4.633370960848251,330.6666666666667,spectral_gemma3_4b.csv
gemma3_4b,low_rank_diffuse,6,28,1,9.583066666666666,1.0047249999999999,0.9953,0.9976166666666667,0.0532,150.08286666666666,1.508969326749833,-3.06500694855871,4.621044570367586,330.6666666666667,spectral_gemma3_4b.csv
ministral8b,high_complex_global,1,5,27,205.157875,1.0782583333333333,0.9275583333333333,0.9362916666666666,0.180875,185.69635833333334,1.6726909528940925,-0.26450364939765997,-1.1436836540987725,457.5833333333333,spectral_ministral8b.csv
ministral8b,high_complex_global,2,2,10,255.459025,1.1502583333333334,0.8695916666666667,0.9221499999999999,0.2300333333333333,171.16930833333333,1.4878741209094193,0.5191534561455556,-2.5261810332005306,457.5833333333333,spectral_ministral8b.csv
ministral8b,high_complex_global,3,5,24,146.77435833333334,1.1303416666666666,0.8849833333333333,0.9051083333333333,0.0894,174.80304166666667,1.4418152868165415,-0.7286896487487595,0.015564010680977514,457.5833333333333,spectral_ministral8b.csv
ministral8b,high_complex_global,4,8,24,286.0439833333333,1.1234833333333334,0.8901083333333334,0.9117166666666666,0.22725833333333334,151.79319999999998,1.3668703220030616,1.0042742745457005,-3.3754188710944626,457.5833333333333,spectral_ministral8b.csv
ministral8b,high_complex_global,5,33,13,154.46959999999999,1.2077416666666667,0.8282250000000001,0.9224166666666668,0.16654166666666667,188.47109166666667,1.25944286352861,-0.45470459583375666,-0.35003367186109646,457.5833333333333,spectral_ministral8b.csv
ministral8b,high_complex_global,6,13,17,136.82805833333333,1.1138416666666666,0.8982833333333334,0.9322416666666666,0.11264166666666665,176.44150000000002,1.1758653596838473,-0.581151428165425,-0.013562503352997218,457.5833333333333,spectral_ministral8b.csv
ministral8b,local_band,1,35,14,453.74240000000003,123.52768333333334,0.008716666666666666,0.021383333333333334,0.9405083333333333,11.6344,-6.155983466384203,10.523594658865683,-14.891205851347165,457.5833333333333,spectral_ministral8b.csv
ministral8b,local_band,2,0,10,391.24515,20.331958333333333,0.053658333333333336,0.07885833333333334,0.8235166666666666,27.581366666666668,-5.523198132742108,9.146773248778883,-12.770348364815657,457.5833333333333,spectral_ministral8b.csv
ministral8b,local_band,3,17,22,448.5749583333333,43.13592499999999,0.024075,0.03900833333333333,0.7961,31.492975,-4.513453449462951,8.819545726745385,-13.125638004027818,457.5833333333333,spectral_ministral8b.csv
ministral8b,local_band,4,14,7,445.5622333333333,20.875733333333333,0.049875,0.06659166666666667,0.76425,41.08844166666667,-4.036779386103982,8.307004867832902,-12.577230349561823,457.5833333333333,spectral_ministral8b.csv
ministral8b,local_band,5,26,4,366.2835916666666,9.506341666666666,0.11316666666666665,0.148225,0.7667166666666666,42.966058333333336,-4.951601970753424,8.278007212527267,-11.604412454301109,457.5833333333333,spectral_ministral8b.csv
ministral8b,local_band,6,0,8,261.51186666666666,7.616808333333334,0.13865,0.20139166666666666,0.6872416666666666,31.99315,-5.835169472017219,7.91425674073875,-9.99334400946028,457.5833333333333,spectral_ministral8b.csv
ministral8b,low_rank_diffuse,1,23,21,2.4505333333333335,1.012675,0.9875250000000001,0.9999166666666667,0.02475833333333333,221.16705833333333,1.4686543636901552,-2.473718445817938,3.478782527945721,457.5833333333333,spectral_ministral8b.csv
ministral8b,low_rank_diffuse,2,27,12,2.382616666666667,1.0174,0.9829500000000001,0.9999250000000001,0.0232,219.98170833333333,1.449548545237403,-2.4554211821446668,3.4612938190519302,457.5833333333333,spectral_ministral8b.csv
ministral8b,low_rank_diffuse,3,31,17,2.302633333333333,1.0106166666666667,0.9895,0.9999916666666667,0.023733333333333332,219.16636666666668,1.4228544614033982,-2.429679307976116,3.4365041545488335,457.5833333333333,spectral_ministral8b.csv
ministral8b,low_rank_diffuse,4,24,4,2.4448,1.01225,0.987925,0.9999833333333333,0.026583333333333334,220.03616666666667,1.4239871863508426,-2.4291195243912984,3.434251862431754,457.5833333333333,spectral_ministral8b.csv
ministral8b,low_rank_diffuse,5,27,17,2.3858166666666665,1.0364583333333333,0.9648500000000001,0.9999833333333333,0.024258333333333337,219.26840833333333,1.422216580734983,-2.428051121318894,3.4338856619028046,457.5833333333333,spectral_ministral8b.csv
ministral8b,low_rank_diffuse,6,24,24,3.040525,1.0101083333333334,0.9899916666666666,0.99975,0.027641666666666665,220.16075,1.4256709192728225,-2.42371109099172,3.4217512627106172,457.5833333333333,spectral_ministral8b.csv
qwen3_8b,high_complex_global,1,35,24,133.98024166666667,1.1642,0.8623833333333333,0.8830083333333333,0.24324166666666666,120.08909166666666,1.4073913920707097,-0.5764556764017981,-0.2544800392671135,313.0833333333333,spectral_qwen3_8b.csv
qwen3_8b,high_complex_global,2,10,21,245.31154166666667,1.3699166666666667,0.7306166666666667,0.7422166666666667,0.3555166666666667,80.43694166666667,1.3130797979407318,1.2286747521725012,-3.770429302285734,313.0833333333333,spectral_qwen3_8b.csv
qwen3_8b,high_complex_global,3,10,28,187.74440833333333,1.1834,0.8456916666666667,0.8606166666666667,0.2881,96.37383333333334,1.2843280156863053,0.37279718085219893,-2.0299223773907027,313.0833333333333,spectral_qwen3_8b.csv
qwen3_8b,high_complex_global,4,7,11,156.45879166666666,1.1806916666666667,0.8473083333333333,0.8627166666666667,0.274425,106.92231666666667,1.1890755492236087,-0.012713823879085817,-1.1636479014654368,313.0833333333333,spectral_qwen3_8b.csv
qwen3_8b,high_complex_global,5,11,1,179.31461666666667,1.1681416666666666,0.8573583333333333,0.8719083333333334,0.2582666666666667,90.15249999999999,1.1490578735891024,0.378527415001007,-1.9061127035911167,313.0833333333333,spectral_qwen3_8b.csv
qwen3_8b,high_complex_global,6,24,24,197.04217500000001,1.3705166666666668,0.7304083333333334,0.7615666666666666,0.28646666666666665,83.71994166666667,1.0702377729680672,0.7297654312071213,-2.5297686353823097,313.0833333333333,spectral_qwen3_8b.csv
qwen3_8b,local_band,1,12,25,312.42988333333335,242.3697083333333,0.0047083333333333335,0.021708333333333333,0.9706666666666667,2.1846583333333336,-3.519608286321333,7.09276481467431,-10.665921343027287,313.0833333333333,spectral_qwen3_8b.csv
qwen3_8b,local_band,2,1,4,295.31876666666665,112.96858333333334,0.010483333333333332,0.039825,0.9724416666666666,2.5935166666666665,-3.7810913299240636,7.091302750551652,-10.40151417117924,313.0833333333333,spectral_qwen3_8b.csv
qwen3_8b,local_band,3,0,1,299.2618166666667,109.227775,0.011025,0.03913333333333333,0.9419916666666667,4.321808333333333,-3.4923615771571455,6.863165519430989,-10.233969461704834,313.0833333333333,spectral_qwen3_8b.csv
qwen3_8b,local_band,4,1,7,216.56581666666668,48.70863333333333,0.023658333333333333,0.09273333333333333,0.9095166666666666,6.7790333333333335,-4.50205075944554,6.602072142518084,-8.70209352559063,313.0833333333333,spectral_qwen3_8b.csv
qwen3_8b,local_band,5,0,15,275.8919333333333,117.60101666666667,0.009166666666666667,0.04120833333333333,0.8991666666666666,5.394175000000001,-3.569975000730547,6.581655888073449,-9.593336775416352,313.0833333333333,spectral_qwen3_8b.csv
qwen3_8b,local_band,6,16,27,311.0004833333333,91.26251666666667,0.011525,0.029983333333333334,0.9144833333333334,9.318125,-3.0063822156098743,6.5575732729591465,-10.108764330308418,313.0833333333333,spectral_qwen3_8b.csv
qwen3_8b,low_rank_diffuse,1,13,12,1.0086083333333333,1.0,1.0,1.0,0.022675,156.03235,1.6950392978632887,-2.907467620461163,4.119895943059038,313.0833333333333,spectral_qwen3_8b.csv
qwen3_8b,low_rank_diffuse,2,7,6,1.586575,1.0000916666666666,0.9999083333333334,0.9999750000000001,0.0234,154.88856666666666,1.6665512172354136,-2.870097974100971,4.073644730966528,313.0833333333333,spectral_qwen3_8b.csv
qwen3_8b,low_rank_diffuse,3,7,4,2.36105,1.0002583333333332,0.9997416666666666,0.9998916666666666,0.028991666666666666,155.08359166666665,1.6514003154078134,-2.843045779314371,4.034691243220928,313.0833333333333,spectral_qwen3_8b.csv
qwen3_8b,low_rank_diffuse,4,9,30,1.7939666666666667,1.0012,0.9988,0.99995,0.026591666666666666,153.53786666666667,1.6119496730658336,-2.8123094594258804,4.0126692457859265,313.0833333333333,spectral_qwen3_8b.csv
qwen3_8b,low_rank_diffuse,5,9,8,2.4780666666666664,1.0009249999999998,0.9990749999999999,0.9996916666666666,0.025316666666666668,153.0492,1.61576437415248,-2.805611652667533,3.995458931182586,313.0833333333333,spectral_qwen3_8b.csv
qwen3_8b,low_rank_diffuse,6,9,28,3.034283333333333,1.002475,0.9975416666666667,0.9995833333333334,0.03038333333333333,152.54668333333333,1.5801254999257381,-2.7614254431508485,3.942725386375959,313.0833333333333,spectral_qwen3_8b.csv
