task_id,model_tag,layer,head,seq_len,intervention_type,band_width,plr_rank,target_group,selection_rank,source_erank,source_diag_conc,source_mean_dist,intervention_fired,kl_div,js_div,top10_overlap
TC01,qwen3_8b,24,24,211,plr,5,4,high_complex_global,6,197.04217500000001,0.28646666666666665,83.71994166666667,1,0.003933,0.000988,1.0
TC01,qwen3_8b,12,25,211,plr,5,4,local_band,1,312.42988333333335,0.9706666666666667,2.1846583333333336,1,0.023155,0.005516,0.9
TC01,qwen3_8b,1,4,211,plr,5,4,local_band,2,295.31876666666665,0.9724416666666666,2.5935166666666665,1,0.037693,0.009647,0.8
TC01,qwen3_8b,0,1,211,plr,5,4,local_band,3,299.2618166666667,0.9419916666666667,4.321808333333333,1,0.313769,0.061924,0.7
TC01,qwen3_8b,1,7,211,plr,5,4,local_band,4,216.56581666666668,0.9095166666666666,6.7790333333333335,1,0.140601,0.031518,0.7
TC01,qwen3_8b,0,15,211,plr,5,4,local_band,5,275.8919333333333,0.8991666666666666,5.394175000000001,1,0.089312,0.020042,0.8
TC01,qwen3_8b,16,27,211,plr,5,4,local_band,6,311.0004833333333,0.9144833333333334,9.318125,1,0.121377,0.026947,0.7
TC01,qwen3_8b,13,12,211,plr,5,4,low_rank_diffuse,1,1.0086083333333333,0.022675,156.03235,1,0.018915,0.004755,0.9
TC01,qwen3_8b,7,6,211,plr,5,4,low_rank_diffuse,2,1.586575,0.0234,154.88856666666666,1,0.050646,0.012109,1.0
TC01,qwen3_8b,7,4,211,plr,5,4,low_rank_diffuse,3,2.36105,0.028991666666666666,155.08359166666665,1,0.301525,0.077396,0.9
TC01,qwen3_8b,9,30,211,plr,5,4,low_rank_diffuse,4,1.7939666666666667,0.026591666666666666,153.53786666666667,1,0.063711,0.016222,0.8
TC01,qwen3_8b,9,8,211,plr,5,4,low_rank_diffuse,5,2.4780666666666664,0.025316666666666668,153.0492,1,0.015651,0.003875,0.9
TC01,qwen3_8b,9,28,211,plr,5,4,low_rank_diffuse,6,3.034283333333333,0.03038333333333333,152.54668333333333,1,0.02887,0.007266,0.9
TC10,qwen3_8b,35,24,234,plr,5,4,high_complex_global,1,133.98024166666667,0.24324166666666666,120.08909166666666,1,0.000533,0.000133,1.0
TC10,qwen3_8b,10,21,234,plr,5,4,high_complex_global,2,245.31154166666667,0.3555166666666667,80.43694166666667,1,0.004538,0.001145,1.0
TC10,qwen3_8b,10,28,234,plr,5,4,high_complex_global,3,187.74440833333333,0.2881,96.37383333333334,1,0.004439,0.001121,1.0
TC10,qwen3_8b,7,11,234,plr,5,4,high_complex_global,4,156.45879166666666,0.274425,106.92231666666667,1,0.433604,0.10093,0.7
TC10,qwen3_8b,11,1,234,plr,5,4,high_complex_global,5,179.31461666666667,0.2582666666666667,90.15249999999999,1,0.006259,0.00156,1.0
TC10,qwen3_8b,24,24,234,plr,5,4,high_complex_global,6,197.04217500000001,0.28646666666666665,83.71994166666667,1,0.002238,0.00056,1.0
TC10,qwen3_8b,12,25,234,plr,5,4,local_band,1,312.42988333333335,0.9706666666666667,2.1846583333333336,1,0.038548,0.009215,0.8
TC10,qwen3_8b,1,4,234,plr,5,4,local_band,2,295.31876666666665,0.9724416666666666,2.5935166666666665,1,0.018729,0.004561,1.0
TC10,qwen3_8b,0,1,234,plr,5,4,local_band,3,299.2618166666667,0.9419916666666667,4.321808333333333,1,0.057477,0.013199,0.7
TC10,qwen3_8b,1,7,234,plr,5,4,local_band,4,216.56581666666668,0.9095166666666666,6.7790333333333335,1,0.004721,0.001187,0.9
TC10,qwen3_8b,0,15,234,plr,5,4,local_band,5,275.8919333333333,0.8991666666666666,5.394175000000001,1,0.014815,0.003762,1.0
TC10,qwen3_8b,16,27,234,plr,5,4,local_band,6,311.0004833333333,0.9144833333333334,9.318125,1,1.110897,0.20779,0.7
TC10,qwen3_8b,13,12,234,plr,5,4,low_rank_diffuse,1,1.0086083333333333,0.022675,156.03235,1,0.00484,0.001207,1.0
TC10,qwen3_8b,7,6,234,plr,5,4,low_rank_diffuse,2,1.586575,0.0234,154.88856666666666,1,0.005297,0.001323,1.0
TC10,qwen3_8b,7,4,234,plr,5,4,low_rank_diffuse,3,2.36105,0.028991666666666666,155.08359166666665,1,0.023453,0.005662,0.9
TC10,qwen3_8b,9,30,234,plr,5,4,low_rank_diffuse,4,1.7939666666666667,0.026591666666666666,153.53786666666667,1,0.047934,0.011915,0.9
TC10,qwen3_8b,9,8,234,plr,5,4,low_rank_diffuse,5,2.4780666666666664,0.025316666666666668,153.0492,1,0.002922,0.000733,0.9
TC10,qwen3_8b,9,28,234,plr,5,4,low_rank_diffuse,6,3.034283333333333,0.03038333333333333,152.54668333333333,1,0.005899,0.001455,1.0
